公司名称,公司简称,城市,公司规模,学历要求,工作经验,薪资,融资阶段,工作性质,职位诱惑,职位名称,公司福利
深圳市一面网络技术有限公司,一面数据,深圳,50-150人,本科,1-3年,10k-20k,不需要融资,全职,大数据人工智能；名校系大牛；技术氛围浓,产品经理,"""海归精英团队"",""年度旅游"",""定期体检"",""年终分红"""
深圳市一面网络技术有限公司,一面数据,深圳,50-150人,本科,不限,20k-30k,不需要融资,全职,大数据人工智能；清华系大牛；技术氛围浓,招聘经理,"""海归精英团队"",""年度旅游"",""定期体检"",""年终分红"""
普元信息技术股份有限公司,普元,上海,500-2000人,本科,1-3年,10k-12k,不需要融资,全职,六险一金,HRBP,"""绩效奖金"",""年底双薪"",""五险一金"",""带薪年假"""
北京奥鹏远程教育中心有限公司,慕课网,北京,50-150人,本科,1-3年,10k-20k,不需要融资,全职,"空间无限大,领导好,团队优秀,团队氛围好",HR,"""节日礼物"",""技能培训"",""节日礼品卡"",""月度团建"""
北京点石经纬科技有限公司,OKAY智慧教育,北京,500-2000人,大专,3-5年,15k-30k,B轮,全职,"领导nic,扁平化管理",Python开发工程师,"""五险一金"",""带薪年假"",""节日礼物"",""午餐补助"""
北京点石经纬科技有限公司,OKAY智慧教育,北京,500-2000人,大专,3-5年,14k-25k,B轮,全职,"五险一金,带薪年假,补贴,节日福利",python开发工程师,"""五险一金"",""带薪年假"",""节日礼物"",""午餐补助"""
OPPO广东移动通信有限公司,OPPO,深圳,2000人以上,本科,5-10年,18k-35k,不需要融资,全职,发展空间大，成长快,python算法工程师,"""丰厚年终"",""扁平管理"",""追求极致"",""本分"""
联想（北京）有限公司,联想集团,北京,2000人以上,本科,5-10年,25k-35k,上市公司,全职,团队优秀,python开发工程师（武汉）,"""五险一金"",""绩效奖金"",""午餐补助"",""带薪年假"""
海南安迈云网络技术有限公司,安迈云,成都,500-2000人,大专,3-5年,8k-15k,不需要融资,全职,python,python开发工程师,
深圳市华里网络科技有限公司,华里网络,深圳,50-150人,大专,3-5年,10k-15k,不需要融资,全职,长期稳定 年终奖 项目奖 下午茶,python开发工程师,
和骏出行（杭州）科技有限公司,和骏出行,武汉,50-150人,本科,3-5年,15k-30k,天使轮,全职,五险一金 ；午餐补贴,python开发工程师,
和骏出行（杭州）科技有限公司,和骏出行,杭州,50-150人,本科,1-3年,10k-16k,天使轮,全职,五险一金 餐补,python开发,
珠海钧誉资产管理有限公司,钧誉资产,广州,50-150人,大专,不限,8k-12k,未融资,全职,扁平化管理 周末双休 丰厚年终奖,python开发工程师,
珠海钧誉资产管理有限公司,钧誉资产,广州,50-150人,大专,不限,8k-12k,未融资,全职,扁平化管理 周末双休 丰厚年终奖,python工程师,
